text,label,notes,game
"Verrry good, but uh marvin tried to bite me, he has no sense of personal space i thought we were friends :(",opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 2 (2019 Remake)
great game.... but scary.... you can easily run out of ammo....accompanied by a big hoard of zombies (Not to mention X),opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 2 (2019 Remake)
"I HATE MR.X SO SO SO MUCH !!!

Why this Man always come in every single spot Leon Go ?? what did he want, HUH ?? Ada was There..Look !!

*MR.x Run and punch Leon in the face plus 2 licker jump right into my screen

Screw Me *sigh*

-too horror, i hate when some monster or something chase me everywhere...

but it's all good if you really brave not like me",opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 2 (2019 Remake)
"Love this game, I played the original one and loved it as well. Mr X never fails to be a huge pain in the a$$ though XD",opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 2 (2019 Remake)
"Good game. They could have done more with the scenarios, make both stories really feel like they could have happened in parallell instead of just tweaking minor progression :/

But otherwise very solid remake.",opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 2 (2019 Remake)
I have almost beat the game as Claire but i have loved every second and jump scare of this game 10/10 game.,personal_experience,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 2 (2019 Remake)
"This game made me pee my pants, thanks capcom",personal_experience,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 2 (2019 Remake)
"This game is good. It's not as spooky or tense as Resident Evil 2, it is very action packed though. Good game.",opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 3 (2020 Remake)
"I heard many things about the RE 3 remake and was always curious to see what I think for it myself.  I think that even though this game is good, it feels like a step back from RE 2 remake.  It is more action packed and a lot shorter than the previous game. This feels like a story DLC for 2 remake and it even reuses models and environments from it too.  Nemesis could have been done a lot better too, after what they did with Mr. X in the previous game I was excited to see what they could do with him here.  Nemesis is mostly scripted and when he does free roam to get the player, it is frustrating and the amount of trial and error is astonishing.  I recommend you get this game on sale, it feels rushed and hollow at the same time but if you are RE fan, get it.",opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 3 (2020 Remake)
I love this resident evil it has my fave characters,personal_experience,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 3 (2020 Remake)
"I haven't played the original game, so I can't tell you if this is a good remake or not, but what I can tell you is that I liked it and think it's pretty good. Though it is definitely not as scary as RE2.",opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 3 (2020 Remake)
"Its good game but not as a remake from Resident Evil 3, but brand new Resident Evil 3 game, because its pretty diferent from the original Resident Evil 3 games",opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 3 (2020 Remake)
"Maximum adrenaline, mountain of spent brass. Missed the tense puzzle-solving of RE2, but Jill's perfect dodge and Carlos's rifle turned Raccoon City into an absolute action-movie blast. 8/10, would get rocket-launched by a bioweapon in a trash bag again.",design_discussion,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 3 (2020 Remake)
I hate nemesis hes so freaking annoying. however jill valentine is very pretty so she makes up for how much i hate nemesis,opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 3 (2020 Remake)
ngl this one's pretty weak but if you get it 95% off it's an ok 2 hour movie,opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 3 (2020 Remake)
"game gets too much shade. i think its very good, its just RE2R was so great and all the things this game did different were a few steps down. it will always be compared to its predecessor. 
i think its better in RE2R in some ways too though. liked the story and cutscenes a lot more, some gameplay/combat improvements, and nemesis is extremely cool. definitely worth playing and by no means a bad game.",design_discussion,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 3 (2020 Remake)
This was an extremely fun game. I have seen comments that this remake cuts alot of contents from the original but I have never played it so i don't know how to compare it to that. The only issue for me is that the game is relatively short and I would recommed that you buy it when it is on sale.,opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 3 (2020 Remake)
"Great game, RE 2 has a smidge more content but REALLY solid game and I enjoyed every minute of it",opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 3 (2020 Remake)
"I like the remake of Resident Evil 3 - the game is fun and combines both action and horror (especially in the hospital). However, the game is quite short, therefore I recommend buying the game when on sale.

[h3] Resident Evil 2 Remake is way better! [/h3]",personal_experience,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 3 (2020 Remake)
"This game does not deserve the hate, honestly not a bad game nemesis has it out for me idk why, This game is short yes but is it a bad game, quite the opposite. Lowkey a banger. Don't skip out on this game just because other people find it bad.",opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 3 (2020 Remake)
Absolute masterpiece in action horror 10/10 no notes,personal_experience,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 4 (2023 Remake)
I LOVE THIS GAME I AM REPLAYING,personal_experience,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 4 (2023 Remake)
it is amazing love it and we love las plaga,personal_experience,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 4 (2023 Remake)
"Little disappointed that I didn't see a little man hiding in a locker like the other games, but man, this was a good one. Gonna do Separate Ways next, very excited.",opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 4 (2023 Remake)
"I love Leon, he's such a cutie",personal_experience,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 4 (2023 Remake)
WAS A GOOD GAME THE STORY IS GOOD THE FIGHTING THE ENVIROMENT AND THE CHARACTER WAS SO GOOD AND I RECCOMEND YOU TO PLAY RESIDENT 2 AND 3 ALSO IF YOU LIKED THIS BUT THIS YEAR THIS GAME WAS TOO LAGGY WITH DENOUVO SO PLAY WITHOUT DENOUVO CAUSE NOTHING WAS DIFF WITHOUT AND WITH DENOUVO,opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 4 (2023 Remake)
"Chris Redfield founds out some terrorists from Africa obtained the RE4 virus
It's like RE4 but coop, more action less survival, more militar elements as the RE4 Ending, you can play in coop hard mode, is pretty easy though, I consider it the Dino Crisis 2 of the RE Franchise",opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 5
the tank controls genuinely piss me off but thats probably js my skill issue.. anyways beyond that it's pretty awesome ill be back when theres a remake capcom let sheva out of the basement PLEASEEUUH,opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 5
I got carried through it but I had a great time and laughed at some of the dialogue. Really feels like a 2008 type game. Much fun,personal_experience,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 5
the game is fun to an extent but for me its a 6/10 because its very action focused for most of the game. not a lot of horror,personal_experience,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 5
Loved the game. I did get stuck at the end a bit but its still a very good game none the less.,opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 5
