text,label,game
"One of the greatest survival horror games ever made!

Even after all these years, Resident Evil HD Remaster feels incredibly polished and well designed. The atmosphere is unmatched, the Spencer Mansion is a masterpiece of level design, and every room keeps you on edge.

Unlike many modern games that hold your hand, this game trusts the player. Resource management matters, exploration is rewarding, and solving puzzles feels genuinely satisfying. Every shortcut unlocked and every key item discovered feels like real progress...(lol it was a nightmare yet fun)

The pre-rendered backgrounds still look beautiful, the soundtrack creates constant tension, and the Crimson Heads add an extra layer of fear even for returning players and on top of that hunters ugh....

I went for the Platinum achievement, and every playthrough showed me something new. It never stopped being fun! I loved how it all started, the journey of Chris and Jill as the early main cast of RE, it was a wonderful experience.

If you're interested in survival horror, this isn't just a game you should play, it's a game you should experience.

A true masterpiece and one of Capcom's finest game!",analysis,Resident Evil (2015 Remake)
Brings back tons of childhood memories and nostalgia. Stable game that runs well on my modern system. 4k high res texture pack available.,personal_story,Resident Evil (2015 Remake)
"An astonishing remake that still holds up today. The Spencer Mansion is stunning to explore and slowly figure out. The fixed camera angles add so much atmosphere and cinematic quality to every room. The new Crimson Heads mechanic creates a lot of tension when choosing which zombies to kill, and trying to remember which rooms have bodies not yet burned. It's still the quintessential survival horror title and one of the best.",analysis,Resident Evil (2015 Remake)
I love this remake of the original Resident Evil. Very nostalgic and fun to play. Feels like solving a horror mystery.,personal_story,Resident Evil (2015 Remake)
"I've beaten the game twice now, and all i can think about is how much fun i had doing it. The game really does make you feel alone the whole playthrough it's something that i think adds to the already creepy atmosphere, not to mention the different endings, weapons, and dialogue between Chris and Jill that adds to the replayability, overall if you want to try one of the games that has the fixed camera angles i would recommend you give resident evil HD remastered a chance.",analysis,Resident Evil (2015 Remake)
All fun and games until you get to the residence with Evil Residents.,quick_take,Resident Evil (2015 Remake)
i might go back to this game eventually but probably not. this and zero. unplayable with this type of game controls. i don't like it and the loading screens are rediculous. maybe not get far enough. lol. i quit very quickly. did enjoy all the others on normal modes. maybe hard with a new game plus eventually but part 2 and 3 remake are dead to me cause of them annoying giant mobs that are needed to avoid. nooooooo. lol,personal_story,Resident Evil (2015 Remake)
This game made me scared of windows,analysis,Resident Evil (2015 Remake)
"1. This game has a very good atmospere but gets ruined because of awfull camera.

2. ...Thus I am dropping this game from playing further.

3. Recommended only if you can stand the awfull camera and loading screen every time you enter and exit a room.",analysis,Resident Evil (2015 Remake)
"Good, I liked it :D 
This is first RE game I've played myself and I enjoyed it, beaten it twice so far.",personal_story,Resident Evil (2015 Remake)
"Fun times in George Trevor's Spicy Escape Room.  While aiming your weapon can be a little janky, I still think this game holds up.",analysis,Resident Evil (2015 Remake)
"I first played this on the venerable Gamecube, and it has retained it's defining status as a modern and enduring survival horror. The unsettling nature of the (shall we say) *fish tank* level and it's contents still encourages a shiver down the spine. 

An excellent example of an update to meet the capabilities of modern PCs",analysis,Resident Evil (2015 Remake)
"While some of the game’s mechanics are certainly outdated by today’s standards, it is not hard to see how the game had such a big impact on the survival horror genre. If you are able to look past some of its quirks, you will find yourself having an enjoyable time.",analysis,Resident Evil (2015 Remake)
"this was my first ever Resident Evil game! i know a lot of people don't like the fixed camera aspect of this game but for me, it was pretty easy to get used to it so i didn't mind. the puzzles are pretty hard, but i liked the overall vibe and aesthetic of the game :)",personal_story,Resident Evil (2015 Remake)
im ngl its not very well written but i like when chris just gives people a thumbs up like bro do you not see the monstrosities you're dealing with rn? imo its easier to control using the og controls instead of the updated ones fyi. i will be playing this entire franchise though. so .,analysis,Resident Evil (2015 Remake)
"I absolutely recommend this game to any and all RE fans! It's a must play. I had a blast for it being the very first game of the RE franchise that I ever played and loved it. The puzzles were not super hard but there is so much backtracking. It's not in a bad way either, as I enjoyed exploring the mansion and finding all the secrets it had. It's really cool to see that Jill and Chris have different scenes and characters in their paths. It was great to know and be introduced to the beginning of where it all started but with updated graphics! This game-it's modes, characters, atmosphere, exploration are 10/10.",personal_story,Resident Evil (2015 Remake)
"The remake improves graphics drastically, while providing some new gameplay mechanics that help with getting out of grabs. The prerendered backgrounds still suffer the same problem as the original: they've become incredibly outdated very quickly. Many puzzles are different from the original while still trying to preserve as much of the design as posible. Overall it's a decent game and one of the few Resident Evil games where using the unlockables won't screw with achievements.",analysis,Resident Evil (2015 Remake)
"Holds up really well. The Spencer Mansion is an iconic location for reason, and it's the best part of this game. The game paces itself expertly with its location, becoming more sinister as you uncover more of its secrets. The lore itself is also very strong. The game succeeds in making a tense experience by limiting resources, obfuscating vision with the static camera, and limiting saves. While it did annoy me at first, I came to appreciate how slow and deliberate the gunplay is because it amplifies the threat of all enemies, especially fast ones. The QoL in this game is good too.

I had an issue with the dog enemies because their speed and small stature made them aggravating to fight. Since you can only aim vertically in 3 set angles (up, neutral, down), it means I had to wait for them to get close before I could actually target them. This led to otherwise avoidable damage; you can't move whilst aiming either. Furthermore, I did find the backtracking a bit tedious and excessive and the bossfights dull. 

Personally, I don't like limited saves. I get its use, and it did successfully increase the tension; however, practically speaking, I find it hinders my experience more than helps it. I should clarify, I'm not saying this is objectively bad, just giving a word of warning for anyone else who also doesn't like this mechanic. 

Nevertheless, this is a must play for any [i]Resident Evil[/i] fan, and I strongly recommend it to anyone that likes horror games.",analysis,Resident Evil (2015 Remake)
"extremely detailed, wonderful storyline, great combat system and overall a amazing game",quick_take,Resident Evil (2015 Remake)
"makes me wanna off myself but in a good way. joy in suffering. 



if you have not played this, fake resident evil fan",analysis,Resident Evil (2015 Remake)
The perfect remake. genuinely. it's everything from the original but better.,analysis,Resident Evil (2015 Remake)
"my fav re game, doors are annoying asf but its an easy mod fix, a little frustrating at times but thats part of the fun, kinda ironic to me how the  end of the game is easier than the beginning, rebecca is my shayla 4eva, wish there was a mode to go through the mansion as rebecca instead of chris or swap their roles",personal_story,Resident Evil (2015 Remake)
"this game is too hard and difficult, the movement on pc is strange and buggy, and the sudden camera changes make it really hard for me to stay away from enemies and shoot them from a distance.",analysis,Resident Evil (2015 Remake)
"This game is extremely rough to play as someone who never played it growing up, it feels almost like a prototype test demo for RE2, the (in my opinion) far superior game. 

I'm fairly convinced the only praise this game gets is from people wearing heavy nostalgia goggles, because personally I don't think this one stands the test of time in the slightest.

The atmosphere is good and the art direction for the game is very solid, voice actors aren't the best but at least the lines are funny. Everything else? Absolutely awful.

It's not even the tank controls or the horrid camera angles either, those I can actually put up with just fine.

The game isn't actually scary at all, its more ""cheesy"" if anything, which is the opposite of what most people seem to claim, not only that but the entire game is just trial and error moon logic puzzles while giving you super limited inventory slots where you often (not always) gotta randomly guess what items are gonna be useful for the immediate future or not. 

Perfect example of this games issues in a nutshell, the shield crest at the start of the game. It doesn't come into play until HOURS later. Just...why?

So you might just end up carrying it around hoping it'll be useful soon because ""Why would they give us a solution with no problem?""

This game is riddled with poor game design choices and ""puzzles"" that fluctuate between fine and awful design. They aren't even hard either, they're just...bad.

The entire game is just extremely tedious and boring. Even the load screens waste your time which I had to go grab a mod to fix so I wouldn't lose my mind listening to that stupid door sound given how much backtracking this game requires.

The enemy design is also made to be extremely boring and a waste of your time, especially the boss fights, which to be fair the bosses in the other RE games could be this way too, but its especially bad here where its just a boring bullet sponge that takes what feels like 10 years to die.

RE2 is a far better experience and I highly recommend just skipping this one and going straight into RE2, it's got 1000x better game design principles.

I give it a 2/10.",analysis,Resident Evil (2015 Remake)
"This game is Awesome but in a hard way, what i mean by that this game is stupidly confusing in the start but once you get the hang of it becomes relatively easy and start understanding what do you have to do in this game.
My first playthrough being with jill (normal difficulty) was hard i would say as i didn’t have much knowledge what did i had to do so i died plenty of times and somehow ran out of ink ribbons as well, making my playthrough Hella rough but still i managed to beat the game in 11 hrs on normal.
Moving on to my Chris's playthrough (Hard difficulty), man, it was a completely different scenario. Having only six inventory slots instead of eight is no joke, especially when you have to carry around old keys since he doesn't get a lockpick. It forces you to be way more strategic with your item management and when you actually decide to use your fuel to burn a zombie even though the enemies hit harder, the run actually felt smoother overall because I already knew the mansion layout from my first time through.
Overall, once you get past that initial brutal learning curve, the game is an absolute masterpiece. If you love classic survival horror and don't mind a genuine challenge, you have to play it.",analysis,Resident Evil (2015 Remake)
Wow This was Peak i understand now,quick_take,Resident Evil (2015 Remake)
"very good game, controls on PC not the best and kinda outdated. a remake on the new engine is well deserved

#CHRISTHISWAY",analysis,Resident Evil (2015 Remake)
"Enjoyed the upgraded graphics in this remaster. Also enjoyed the alternate controls, though it took time to get use to it.",analysis,Resident Evil (2015 Remake)
Best videogame remake to exist.,quick_take,Resident Evil (2015 Remake)
This game feels like a giant escape room and it's super fan at that. Loved it.,personal_story,Resident Evil (2015 Remake)
AT FIRST I PLAYED RE 7 THEN I STARTED TO PLAY ALL RE'S AND IN THE BEGINNING I DEFINITELY CAN SAY IT'S A MASTERPIECE,personal_story,Resident Evil (2015 Remake)
"Thank you Capcom for bringing this remaster to PC. Alas, as with most remasters, it's a job that was only half finished. Once again, the mod community has to do the job that a corporation won't. After installing the base game, be sure to download the REscale mod. The game looks gorgeous and is more than worth a 9GB download. https://www.nexusmods.com/residentevilbiohazardhdremaster/mods/102",analysis,Resident Evil (2015 Remake)
love eating my jill sandwich in the mansion with evil residents,personal_story,Resident Evil (2015 Remake)
the mansion in this and re0 both put me to sleep but damn the lore here is good,analysis,Resident Evil (2015 Remake)
"The game did not click with me at first, didn't understand why people loved it so much. But after I beat the original (and liked it a lot), I decided to give the remake another try. Now I get why this franchise is so beloved, this games are engaging AF. Easily one of the best 40 hours I've spent in a while.

Although I believe that the original sill has its merits too, and deserves a chance as well. 100% Recommended.",personal_story,Resident Evil (2015 Remake)
"For a game that first released in 2002, it's actually held up and fun. 9/10. Love it.",personal_story,Resident Evil (2015 Remake)
haha 100% completed at cost of my sanity.,quick_take,Resident Evil (2015 Remake)
Literally super scary I like it. That's all,quick_take,Resident Evil (2015 Remake)
Trying to use these controls should be considered a form of self harm,quick_take,Resident Evil (2015 Remake)
"WHAT CAN I SAY! just....PLAY IT! 
but- but- the controls and graphics and and- SHUUUSHH SHUUUUSHHHH just PLAY IT",analysis,Resident Evil (2015 Remake)
"played this game for the first time on NIntendo 64, then got a Gamecube and was BLOWN AWAY by how good it looked. THEN!!! it comes to steam and looks EVEN BETTER?!?!?! this is one of the greatest games of all time and still to THIS DAY looks incredible. Stunning lighting and shadows, insane amount of detail, and the atmosphere is unmatched. everything about this game is TOP TIER. the definitive survival horror experience! Also, you can choose between MODERN controls and TANK controls. 100/100",analysis,Resident Evil (2015 Remake)
"Resident Evil HD Remastered — 10/10

Beautiful survival horror.

At first: fear, confusion, panic.

Later: routing, precision, control over your panic.

The mansion doesn’t change its manners, you do bud. 

Every mistake hurts. Every correct decision feels extremely deserved.

Save rooms are still perfect. Calm in a place that wants you completely dead.

Inventory management is the real enemy.

Hunters still remind you that your neck ain’t safe. 

Crimson Heads still punish dumb mistakes.

And yet… you come back. Why?
Game has great replay ability. 
At the time of writing this reviews, I had just finished my 10th, full Platinum/100% run. 

Oh!
One last thing.
Bring a healing item to boss fights and keep your inventory mostly empty!
Hope you enjoy the game.",personal_story,Resident Evil (2015 Remake)
"Its true to the original, takes me back to my PS1 days, just great, and still very difficult",personal_story,Resident Evil (2015 Remake)
They don't make puzzles like this anymore. 10/10,quick_take,Resident Evil (2015 Remake)
"while the tank controls made me mad at times it was an amazing experience to get to start from the very beginning of resident evils story and experience the puzzles, the amazing lore, wesker, and my girl jill of course :3",personal_story,Resident Evil (2015 Remake)
Very Slow game indeed but its definetly a RE classic to experience. Specifically the doors transitions into the next level is what's more annoying but the game is fun int its own way. I recommend giving it a shot I enjoy the puzzles.,analysis,Resident Evil (2015 Remake)
"Amazing classic survival horror game. I played this on the GameCube and PS4. The PC version is the BEST due to 60 fps and the ability to install a mod for true HD prerendered backgrounds.
Make sure you install the Prerendered backgrounds HD upscale mod - it makes the prerendered backgrounds true HD and look way better!
10/10.",analysis,Resident Evil (2015 Remake)
"I love this game. I don't care if they hate tank controls, the atmosphere is unmatchable. Play this game if you can.",analysis,Resident Evil (2015 Remake)
"It's a Resident Evil remake. I really do not know what else to say about it. As far as I remember its pretty much identical to the original but with better graphics. Like everyone else I've played this multiple times.

If you really do not know or at least heard of Resident Evil at this point in time then you must lead an extremely sheltered life.",personal_story,Resident Evil (2015 Remake)
"Absolute classic, been replaying this since it came out on the Gamecube and always come back to it. The controls might be tedious for new players not used to them, but its absolutely worth getting into it.",personal_story,Resident Evil (2015 Remake)
"THAT'S WHY HE'S THE GOAT, THE GOAT",quick_take,Resident Evil (2015 Remake)
Top tier game! that is all I'm gonna say,quick_take,Resident Evil (2015 Remake)
figuring out the controls is the true horror of this game,analysis,Resident Evil (2015 Remake)
"i like gam,e me like r4esind evilk!!!!!!",quick_take,Resident Evil (2015 Remake)
love ts and i havent even played mommy claires story yet or any 2nd runs,personal_story,Resident Evil 2 (2019 Remake)
First time playing... the zombies are no joke...,personal_story,Resident Evil 2 (2019 Remake)
"This game's opening first hours in the police station are some of the most dreadful I have ever encountered. I remember my father and older brother playing this game on our PS1 back in 98/99. The new RE Engine makes what was scary then nearly unbearable today (in a good way).

I felt completely helpless in the first areas, or at least until Leon got his handy dandy shotgun. Claire's guns were always lackluster at first, but once you get the hang of dodging and running around zombies, figuring out the large number of puzzles, and getting lost in the labyrinth of hallways, tunnels, and mazes, you will learn to love this game. I am happy this got a remake. The third person camera makes this game so much better, let alone the modern graphics and true darkness of the RPD hallways.

Fantastic job Capcom's RE2 Remake team. You made me nearly pee myself in a game where I know nothing can physically hurt me, but psychologically, I was made to suffer very real duress. Thank you for the well-crafted upgrade to an all-time great game.",analysis,Resident Evil 2 (2019 Remake)
"Game rewards you with the feeling of 'wow im so intellect and cool' and makes you feel like a little smart ass, super great ♥♥♥♥, those that cry that its unforgiving are little chuds",analysis,Resident Evil 2 (2019 Remake)
"At first when I played this game I didn't get the loop of the game and disliked the gore but I was dead wrong about my opinion when first trying the game. Between that time I decided to try the remake of Resident Evil and loved the puzzles and combat. So I decided to revisit this game and I have to say the puzzles and more modern feel of this game makes it a masterpiece. While the newer combat makes the game more challenging the modern feel makes this game more immersive brining me more into the world of Raccoon City. I highly recommend trying out the game it is a great experience as both Claire and Leon, exploring the police station while evading all the enemies in the game that are designed with your gameplay experience in mind.",analysis,Resident Evil 2 (2019 Remake)
"Honestly dude this game just pisses me the ♥♥♥♥ off more than the story is good it's unforgiving as ♥♥♥♥ with everything. I'm not interested in wandering around for 30 minutes trying to find what the ♥♥♥♥ I missed for the next part of the game and then have to do that ♥♥♥♥ all over again for most parts of the game, it's just so, SO ♥♥♥♥♥♥♥ annoying",analysis,Resident Evil 2 (2019 Remake)
DO NOT ♥♥♥♥ WITH THE BLACK MAN,quick_take,Resident Evil 2 (2019 Remake)
"To be completely blunt and honest, I did watch gameplays of RE2 before I finally managed to play it myself.
Thought, ""Hey. I was essentially spoiled on a lot! This almost-10-year-old game can't be that scary now!""
...Good god, I was wrong lmao",personal_story,Resident Evil 2 (2019 Remake)
This review is mad late but aye game fire.,quick_take,Resident Evil 2 (2019 Remake)
"Honestly one of the best remakes I’ve played.
The story kept me engaged the whole way through, Leon and Claire were both great characters, and the game does an amazing job balancing horror, exploration, and action. The visuals still look fantastic, and every part of the police station felt memorable and tense.

A genuinely amazing survival horror experience.",analysis,Resident Evil 2 (2019 Remake)
"I really enjoyed Resident Evil 2. I finished Leon's Story in 6 hours, within one day of playing, and had a blast the whole way through. It was fun and engaging the entire time, and Tyrant was always a really good looming threat.",personal_story,Resident Evil 2 (2019 Remake)
"fun to play, with no running issues",quick_take,Resident Evil 2 (2019 Remake)
One of the best remakes of all time,quick_take,Resident Evil 2 (2019 Remake)
"There really isnt much to say except the fact that this game is probably one of the scariest and the best horror games oat, easy 10/10",analysis,Resident Evil 2 (2019 Remake)
The only evil resident is the sheriff,quick_take,Resident Evil 2 (2019 Remake)
Achei muito bom e assustador 😱😱😱,quick_take,Resident Evil 2 (2019 Remake)
Just finished my first game through on this title (Leon path). Amazing story. Good scenery design and acerted balance on the weapons and enemies health. Would wish more bullets lol.,personal_story,Resident Evil 2 (2019 Remake)
"This is a great game👍 with a good story, art style, and characters (Ada and Claire are so beautiful😍). This game also excels in creating a terrifying atmosphere. (Tyrant is truly terrifying😭). Hardware compatibility is also excellent!",analysis,Resident Evil 2 (2019 Remake)
Great Game ....................,quick_take,Resident Evil 2 (2019 Remake)
"Verrry good, but uh marvin tried to bite me, he has no sense of personal space i thought we were friends :(",personal_story,Resident Evil 2 (2019 Remake)
"Fire game, and my first R.E game",personal_story,Resident Evil 2 (2019 Remake)
great game.... but scary.... you can easily run out of ammo....accompanied by a big hoard of zombies (Not to mention X),analysis,Resident Evil 2 (2019 Remake)
INVESTING MONEY ON THIS GAME WAS MY BEST DECISION EVER !,quick_take,Resident Evil 2 (2019 Remake)
"Good game, scariness is 5/10 for me",quick_take,Resident Evil 2 (2019 Remake)
"game is good not great probably decent in its time but ill take re4,7,8 and requiem over this one.",analysis,Resident Evil 2 (2019 Remake)
"I HATE MR.X SO SO SO MUCH !!!

Why this Man always come in every single spot Leon Go ?? what did he want, HUH ?? Ada was There..Look !!

*MR.x Run and punch Leon in the face plus 2 licker jump right into my screen

Screw Me *sigh*

-too horror, i hate when some monster or something chase me everywhere...

but it's all good if you really brave not like me",analysis,Resident Evil 2 (2019 Remake)
I NEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEDDDDDDDDDDDDDDDDD YOOOOOOOOOOOOOOOOOOOOOOUUUUUUUUUUUUUUUUU CLAIREEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE,quick_take,Resident Evil 2 (2019 Remake)
"Pretty solid. The Police Station is def the best part of the game. The boss fights are pretty ass icl, but overall a great and atmospheric game",analysis,Resident Evil 2 (2019 Remake)
its action packed nd scary for sure,quick_take,Resident Evil 2 (2019 Remake)
"One of the best survival-horror games I've played. It does an amazing job of balancing horror, exploration, and action while keeping you on edge the whole time. 10/10 would recommend.",analysis,Resident Evil 2 (2019 Remake)
"One of The best Resident Evil Remakes i Replayed it more than 4 times already 
First run of Leon on Cracked Version then both runs again on Xbox for Leon and Claire then on pc again when i got it on steam another 2 runs",personal_story,Resident Evil 2 (2019 Remake)
"The remake of a classic that has managed to surpass, and perhaps even replace, the original. A must-play in the survival-horror genre.",analysis,Resident Evil 2 (2019 Remake)
"I liked it, but not too much, mostly because this is a brand new genre of games for me. I feel like I might have treated the second playthrough unfairly because I was rushing to get it over with. The horror aspect was genuinely terrifying, which was quite an iconic and strange feeling for me!

However, I do not think I will play it again anytime soon. The map layout can feel too broad and boring at times with all the back-and-tracking. I really hope the rest of the series has a better and faster pace, but who knows? I might give this one another chance in the future.",analysis,Resident Evil 2 (2019 Remake)
"Love this game, I played the original one and loved it as well. Mr X never fails to be a huge pain in the a$$ though XD",personal_story,Resident Evil 2 (2019 Remake)
is 2026 but still a fking peak game,quick_take,Resident Evil 2 (2019 Remake)
The G.O.A.T i don't have nothing more to say!,quick_take,Resident Evil 2 (2019 Remake)
Why is everything so evil in this resident,quick_take,Resident Evil 2 (2019 Remake)
I like the quality and the story of the game. Also many different playable character and bonuses. Zombies tho are quite hard to killor just my skill issue.,analysis,Resident Evil 2 (2019 Remake)
"Good game. They could have done more with the scenarios, make both stories really feel like they could have happened in parallell instead of just tweaking minor progression :/

But otherwise very solid remake.",analysis,Resident Evil 2 (2019 Remake)
"Completed both the play out the game is supb, Go for it. Worth every penny. Hate tyrant.",analysis,Resident Evil 2 (2019 Remake)
"Honestly it is a very good game with a unique approach to zombie survival/horror. A fair warning to anyone who played zombie shooters, do not shoot everything you see, I found this out the hard way when I was stuck fighting Mr X with nothing but handgun with like 15 bullets. Play this game as a survival/puzzle horror where you need to run and survive rather than COD zombie and you will enjoy it a lot more.
Overall 8/10 for me",analysis,Resident Evil 2 (2019 Remake)
"RE2R is what you find when looking up the definition of ""peak"" in the dictionary",quick_take,Resident Evil 2 (2019 Remake)
was hesitant to try this game but when it went on sale my friends asked me to buy the game so i did and it was the best 12 dollars ive spent genueiely such a good ♥♥♥♥♥♥♥ game  1000000000% recommend people to buy it i got re4 to try now,analysis,Resident Evil 2 (2019 Remake)
"peak game. would recommend it to anyone starting to play resident evil, since u get all the info u need without having to play 1, and if ur like me you just wanna continue with the game and story just get 3 after don't go to 1 unless ur interested in the backstory of the umbrella coorporation.",personal_story,Resident Evil 2 (2019 Remake)
"this game is phenomenal. From the aesthetic to the gameplay to the story, they all score a 10. My favorite part about this game is how re-playable it is. Claire's story is for those who like horror. But Leon's story is great for those who want to see the hardships of life being replicated in a game (betrayal, innocence, love). Claire's story is great at highlighting the possibility of horror that can be made in a game while Leon's highlight the hardships and horrors of our lives. This game is S tier needless to say. I am going to plan on getting better at the game so I can speedrun it because this game is enjoyable.",analysis,Resident Evil 2 (2019 Remake)
I have almost beat the game as Claire but i have loved every second and jump scare of this game 10/10 game.,personal_story,Resident Evil 2 (2019 Remake)
This is one of the greates remake in RE series,quick_take,Resident Evil 2 (2019 Remake)
I wanna see more games like this but with more open ended gameplay,quick_take,Resident Evil 2 (2019 Remake)
"if claire redfield has a million fans, i'm one of them. if claire redfield has five fans, i'm one of them. if claire redfield has one fan, that one is me. if claire redfield has no fans, i'm no longer alive. if the world is against claire redfield, i'm against the entire world. till my last breath, i'll support claire redfield.",personal_story,Resident Evil 2 (2019 Remake)
"Gameplay is fun, and puzzles are solid. Would recommend.",quick_take,Resident Evil 2 (2019 Remake)
game is really fun zombie game and i like shooting them,quick_take,Resident Evil 2 (2019 Remake)
"Overall Score - 8/10

Resident Evil 2 Remake is the game that made me fall in love with the Resident Evil franchise as a whole. It's captivating and does an AMAZING service to the original, which I also played (and honestly enjoyed much more than the remake, but that's a review for another day). The puzzles, the absolute terror I felt whenever I saw Mr. X, the environment! There are a lot of aspects to this game that I could rant about forever and ever, but what really gets me is the simplicity of it. You've got zombies and two campaigns where you're playing as relatively normal people who just want to help and escape with their lives. Leon and Claire are some of the best RE protagonists we have. I think that the intertwining of Leon and Claire's stories could have been done a bit more intricately, but that's really a minor complaint when it comes to RE2R. Both Leon A and Claire B are incredibly done, and it's so cool to see the level of detail the devs put into making the runs unique yet similar to one another. Seeing the same location from a different perspective really changes your experience.

TLDR; If you're new to Resident Evil, start with this game. If you're anything like me, you'll end up seventeen games later writing a nine paragraph steam review.",personal_story,Resident Evil 2 (2019 Remake)
"Very fun, very stressful, very beautiful.",quick_take,Resident Evil 2 (2019 Remake)
good stardew valley alternative,quick_take,Resident Evil 2 (2019 Remake)
"Great Game, Runs really well too",quick_take,Resident Evil 2 (2019 Remake)
i love it.. actoully im in love,quick_take,Resident Evil 2 (2019 Remake)
this is by far the best game i played,quick_take,Resident Evil 2 (2019 Remake)
Most weapons are but peashooters before the mighty Tyrant.,quick_take,Resident Evil 2 (2019 Remake)
very nice not scary too ez for the mumz,quick_take,Resident Evil 2 (2019 Remake)
"The story is great!
There's two protagonist, one for normal ending and the other for true ending (doesn't matter who you choose first).
The atmosphere and jumpscare is ok, the puzzle's sometime infruiating.",analysis,Resident Evil 2 (2019 Remake)
Honestly... The best game i have ever played.,quick_take,Resident Evil 2 (2019 Remake)
"This game made me pee my pants, thanks capcom",quick_take,Resident Evil 2 (2019 Remake)
